w1  w2
46.873651666637215 -193.12634833336278
83.67966683171244 -156.32033316828756
87.1048808833193 -152.8951191166807
51.74582188705153 -188.25417811294847
62.18723323530912 -177.81276676469088
77.08894805273029 -162.9110519472697
65.7482965371005 -174.2517034628995
38.62483160198917 -201.37516839801083
15.044502543954422 -224.95549745604558
12.472676526432682 -227.52732347356732
11.377537205844419 -228.62246279415558
-0.997206920518238 -240.99720692051824
14.294191221274106 -225.7058087787259
27.052282956118237 -212.94771704388177
40.9982142785816 -199.0017857214184
59.49983098597884 -180.50016901402117
50.17580727890664 -189.82419272109337
21.054156092466204 -218.9458439075338
4.061054211316332 -235.93894578868367
46.223073551587724 -193.77692644841227
83.28629616186072 -156.71370383813928
88.05179401523993 -151.94820598476008
93.54597138724647 -146.45402861275352
50.516588721993685 -189.48341127800632
142.92414107205877 -97.07585892794123
124.14405241485977 -115.85594758514023
59.84024506748484 -180.15975493251517
88.11545506715265 -151.88454493284735
67.90037326543325 -172.09962673456675
57.762254940874314 -182.2377450591257
108.36534166171032 -131.63465833828968
146.79473959898726 -93.20526040101274
106.42050468657227 -133.57949531342774
67.16949629607916 -172.83050370392084
53.466735699901626 -186.53326430009838
47.703366100538915 -192.29663389946109
45.880845844800206 -194.1191541551998
50.36002624537241 -189.6399737546276
31.15467216195611 -208.8453278380439
23.3751803424916 -216.6248196575084
31.960571539394092 -208.0394284606059
74.8654395035028 -165.13456049649722
81.28274686744497 -158.71725313255502
57.32556519684704 -182.67443480315296
80.21878526375758 -159.78121473624242
35.98153582610303 -204.01846417389697
-68.4512343220181 -308.4512343220181
-140.5711978190911 -380.57119781909114
-77.4178137622971 -317.4178137622971
-82.4288997372787 -322.4288997372787
-31.90417729221872 -271.9041772922187
-30.672164024327238 -270.67216402432723
9.767508993793854 -230.23249100620615
46.090982906870074 -193.90901709312993
3.1270589775567714 -236.87294102244323
3.1107743177021803 -236.88922568229782
-21.076269680114823 -261.0762696801148
-0.9278223738047017 -240.9278223738047
6.621267431202796 -233.3787325687972
-48.83547947959369 -288.8354794795937
-56.38451246080831 -296.3845124608083
-42.10023733377238 -282.1002373337724
-58.63652647975596 -298.63652647975596
-59.937148837819684 -299.9371488378197
-100.58204460417846 -340.58204460417846
-52.920285836044506 -292.9202858360445
28.064223401207524 -211.93577659879247
70.16064676201312 -169.83935323798687
86.94016263654476 -153.05983736345524
87.31251729174801 -152.687482708252
101.85365634822028 -138.14634365177972
115.16769063699303 -124.83230936300697
102.4916597319307 -137.5083402680693
46.82078314284627 -193.17921685715373
-23.13831475928919 -263.1383147592892
-68.39309187022991 -308.3930918702299
-99.20218833860234 -339.20218833860235
-137.44386028183135 -377.44386028183135
-159.6096605445641 -399.6096605445641
-59.18219462671096 -299.18219462671095
-53.26119140490073 -293.2611914049007
-87.14138779870154 -327.14138779870154
33.968051576801365 -206.03194842319863
42.06336012482643 -197.93663987517357
42.38869771906547 -197.61130228093452
32.524367260156396 -207.4756327398436
31.792863710392343 -208.20713628960766
