total DFI time:0.01seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-194.5705239  -166.7594163  9.203228504  -1.514066988  7.689161516  
-194.5705239  -138.9483088  10.24275877  -1.354390729  8.888368043  
-194.5705239  -111.1372013  11.5649176  0.09032343635  11.65524103  
-194.5705239  -83.3260938  7.396396646  0.9397120789  8.336108725  
-194.5705239  -55.51498629  5.551730518  2.785745185  8.337475703  
-194.5705239  -27.70387877  3.731044234  3.433020337  7.164064572  
-194.5705239  0.10722874  2.689987184  4.428047076  7.11803426  
-194.5705239  27.91833625  -0.9037832748  5.414111788  4.510328513  
-194.5705239  55.72944377  -2.896538926  6.305229741  3.408690815  
-194.5705239  83.54055128  -6.209787632  6.405992037  0.196204405  
-194.5705239  111.3516588  -1.856672205  5.326139919  3.469467713  
-194.5705239  139.1627663  -1.59899385  4.535354128  2.936360278  
-194.5705239  166.9738738  -1.919325162  4.043743389  2.124418227  
-194.5705239  194.7849813  -1.145723812  3.398092955  2.252369142  
-194.5705239  222.5960889  -1.129623668  3.000469348  1.87084568  
-194.5705239  250.4071964  -0.3171367904  2.63764605  2.32050926  
-166.7594163  -305.8149539  3.885983699  -0.1564806855  3.729503014  
-166.7594163  -278.0038464  4.739418069  -0.5687255607  4.170692508  
-166.7594163  -250.1927389  5.553740281  -0.6394529566  4.914287324  
-166.7594163  -222.3816314  6.819814536  -1.572970258  5.246844278  
-166.7594163  -194.5705239  9.416884915  -1.420449383  7.996435532  
-166.7594163  -166.7594163  12.21288907  -0.3884380341  11.82445104  
-166.7594163  -138.9483088  16.02598532  0.02667201211  16.05265733  
-166.7594163  -111.1372013  13.39300886  1.304741555  14.69775042  
-166.7594163  -83.3260938  15.28275431  2.287364046  17.57011836  
-166.7594163  -55.51498629  11.94931821  3.948214496  15.8975327  
-166.7594163  -27.70387877  3.386317854  4.612598258  7.998916112  
-166.7594163  0.10722874  1.793135194  5.135452389  6.928587583  
-166.7594163  27.91833625  -2.150318905  6.943005473  4.792686568  
-166.7594163  55.72944377  -5.136596079  7.550046396  2.413450318  
-166.7594163  83.54055128  -4.233990309  7.165922986  2.931932676  
-166.7594163  111.3516588  -6.33649462  6.555534827  0.2190402069  
-166.7594163  139.1627663  -2.7989554  5.312346762  2.513391362  
-166.7594163  166.9738738  -1.042467685  4.516910257  3.474442572  
-166.7594163  194.7849813  -1.658241625  4.011957994  2.353716369  
-166.7594163  222.5960889  -0.2986554448  3.356898884  3.058243439  
-166.7594163  250.4071964  -0.7213734887  2.987302546  2.265929057  
-138.9483088  -305.8149539  3.303398013  -0.2060017496  3.097396263  
-138.9483088  -278.0038464  4.039217904  -0.6465055744  3.392712329  
-138.9483088  -250.1927389  4.866786262  -0.6737971029  4.192989159  
-138.9483088  -222.3816314  6.02119833  -1.211061529  4.810136801  
-138.9483088  -194.5705239  8.166409564  -1.333884372  6.832525193  
-138.9483088  -166.7594163  10.80038088  -0.4609646667  10.33941622  
-138.9483088  -138.9483088  17.56104151  -2.203757005  15.3572845  
-138.9483088  -111.1372013  22.41220924  4.15439007  26.56659931  
-138.9483088  -83.3260938  20.39084269  3.486503921  23.87734661  
-138.9483088  -55.51498629  18.73308095  6.184427887  24.91750884  
-138.9483088  -27.70387877  12.85547641  6.787165125  19.64264153  
-138.9483088  0.10722874  10.07434494  6.473969935  16.54831487  
-138.9483088  27.91833625  0.6840302904  8.734301185  9.418331475  
-138.9483088  55.72944377  -5.899091129  9.644300998  3.74520987  
-138.9483088  83.54055128  -8.62967099  8.912242192  0.282571202  
-138.9483088  111.3516588  -6.390598367  7.821744804  1.431146437  
-138.9483088  139.1627663  -4.899317708  6.521663031  1.622345323  
-138.9483088  166.9738738  -3.340523104  5.517100983  2.176577879  
-138.9483088  194.7849813  -2.008969456  4.814092538  2.805123082  
-138.9483088  222.5960889  -1.114974937  3.92998752  2.815012584  
-138.9483088  250.4071964  -0.5700877495  3.550544685  2.980456936  
-111.1372013  -305.8149539  2.960811276  0.6770979722  3.637909248  
-111.1372013  -278.0038464  3.330917753  0.3197736067  3.650691359  
-111.1372013  -250.1927389  4.163427529  0.1318679855  4.295295514  
-111.1372013  -222.3816314  5.591695801  0.2819519872  5.873647789  
-111.1372013  -194.5705239  7.339645371  0.4368000953  7.776445467  
-111.1372013  -166.7594163  9.942515294  1.503245704  11.445761  
-111.1372013  -138.9483088  15.69570097  4.754552875  20.45025384  
-111.1372013  -111.1372013  21.67087328  4.161622512  25.83249579  
-111.1372013  -83.3260938  27.3824806  2.091841935  29.47432253  
-111.1372013  -55.51498629  27.80215884  6.080033845  33.88219268  
-111.1372013  -27.70387877  19.55620351  6.754256679  26.31046019  
-111.1372013  0.10722874  16.01645924  7.665356759  23.681816  
-111.1372013  27.91833625  7.769775897  9.187280047  16.95705594  
-111.1372013  55.72944377  1.709151421  10.58048974  12.28964116  
-111.1372013  83.54055128  -6.651303294  10.29617483  3.644871532  
-111.1372013  111.3516588  -5.650172442  8.602632765  2.952460323  
-111.1372013  139.1627663  -5.285351947  7.205574006  1.920222059  
-111.1372013  166.9738738  -3.594224209  6.130988606  2.536764398  
-111.1372013  194.7849813  -2.612990937  5.203304508  2.590313571  
-111.1372013  222.5960889  -2.109038767  4.535519287  2.426480521  
-111.1372013  250.4071964  -1.283652349  3.845872788  2.562220439  
-83.3260938  -305.8149539  1.935720612  1.162909639  3.098630251  
